product_id,product_name,product_type,provider_name,active_status,minimum_time_in_business_months,minimum_monthly_revenue,minimum_annual_revenue,minimum_funding_amount,maximum_funding_amount,eligible_states,restricted_states,eligible_industries,restricted_industries,preferred_credit_range,minimum_credit_guidance,maximum_existing_positions,negative_day_tolerance,nsf_tolerance,average_balance_guidance,required_collateral,personal_guarantee_requirement,payment_frequency,typical_term_min_months,typical_term_max_months,typical_process_time,required_documents,supported_uses_of_funds,prohibited_uses_of_funds,best_fit_profile,common_decline_reasons,exception_policy,criteria_last_verified,criteria_source,product_owner,matrix_version,record_status,notes
7figs-heloc,Home Equity Loan,commercial_real_estate_financing,7 Figures Funding,true,,,,20000,1000000,,,Startups | Entrepreneurs,,680_719,680,,,,,real_estate,conditional,monthly,,360,2 - 4 Weeks,government_id | application | other,working_capital | inventory | marketing | other,,"White-labeled startup capital path for founders using credit, income, or eligible personal assets.",Recent derogatory credit | Insufficient personal income where required | Open bankruptcy,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Up to 30 Years; rate_cost_range=Variable Market Rate; startup_eligible=no; public_label=Home Equity Loan; qualification_band=startup_no_revenue_credit_leverage
7figs-personal-cards,Low-Interest Personal Cards,business_credit_card_or_revolving_credit,7 Figures Funding,true,,,,500,50000,,,Startups | Entrepreneurs,,680_719,680,,,,,none,conditional,variable,,,1 - 2 Weeks,government_id | application | other,working_capital | inventory | marketing | other,,"White-labeled startup capital path for founders using credit, income, or eligible personal assets.",Recent derogatory credit | Insufficient personal income where required | Open bankruptcy,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,7 Figures Funding,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Revolving; rate_cost_range=Variable APR; startup_eligible=no; public_label=Low-Interest Personal Cards; qualification_band=startup_no_revenue_credit_leverage
dac-corerate,BankBreezy CoreRate Funding,short_term_working_capital,Bank Breezy (DAC),true,24,15000,,5000,2000000,,,,,680_719,680,,,,,none,unknown,daily | weekly,6,24,1 - 3 Days,government_id | bank_statements,working_capital | inventory | payroll,,Fast-turn working capital for businesses that need speed and have active revenue.,Recent NSFs | Unstable deposits | Severe cash-flow deterioration,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=verified; supplemented by funding-products.whitelabel.registry.json,Bank Breezy (DAC),PM-2026-07-16-r1,current,source_verification=verified; original_term=6 - 24 Months; rate_cost_range=1.15x - 1.25x Factor; startup_eligible=no; public_label=Revenue Advance Program; qualification_band=stronger_credit_bank_adjacent
dac-flexrate,BankBreezy FlexRate Funding,short_term_working_capital,Bank Breezy (DAC),true,6,15000,,5000,2000000,,,,,550_599,550,,,,,none,unknown,daily | weekly,4,24,1 - 3 Days,government_id | bank_statements,working_capital | inventory | payroll,,Fast-turn working capital for businesses that need speed and have active revenue.,Recent NSFs | Unstable deposits | Severe cash-flow deterioration,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=verified; supplemented by funding-products.whitelabel.registry.json,Bank Breezy (DAC),PM-2026-07-16-r1,current,source_verification=verified; original_term=4 - 24 Months; rate_cost_range=1.26x - 1.50x Factor; startup_eligible=no; public_label=Revenue Advance Program — Flex Profile; qualification_band=subprime_revenue_based
dac-giggle,Giggle Instant Approval,short_term_working_capital,Bank Breezy (DAC),true,4,3000,,500,10000,,,,,not_provided,,,,,,none,unknown,weekly,3,6,Instant,government_id | bank_statements,working_capital | inventory | payroll,,Fast-turn working capital for businesses that need speed and have active revenue.,Recent NSFs | Unstable deposits | Severe cash-flow deterioration,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,Bank Breezy (DAC),PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=3 - 6 Months; rate_cost_range=1.29x - 1.69x Factor; startup_eligible=no; public_label=Revenue Advance Program — Instant Access; qualification_band=subprime_revenue_based
dac-loc,DAC Line of Credit,business_line_of_credit,Bank Breezy (DAC),true,24,20000,,6000,150000,,,,,680_719,680,,,,,none,unknown,weekly,6,12,24 Hours,government_id | bank_statements | business_formation_documents,working_capital,,Flexible revolving access for businesses that want ongoing draw-based capital.,Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,Bank Breezy (DAC),PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=6 - 12 Months; rate_cost_range=.69% - 1.39% Weekly Fee; startup_eligible=no; public_label=Business Line of Credit — Option 2; qualification_band=stronger_credit_bank_adjacent
dac-canada,Canada Funding,short_term_working_capital,Bank Breezy (DAC),true,6,10000,,5000,500000,,,,,550_599,550,,,,,none,unknown,daily | weekly,3,12,1 - 3 Days,government_id | bank_statements,working_capital | inventory | payroll,,Fast-turn working capital for businesses that need speed and have active revenue.,Recent NSFs | Unstable deposits | Severe cash-flow deterioration,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,Bank Breezy (DAC),PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=3 - 12 Months; rate_cost_range=1.27x - 1.49x Factor; startup_eligible=no; public_label=Revenue Advance Program — Cross-Border Option; qualification_band=subprime_revenue_based
gokap-mca,Merchant Cash Advance,short_term_working_capital,GoKapital,true,3,20000,,20000,5000000,,,Real Estate | Healthcare | Retail,,not_provided,,,,,,none,conditional,daily | weekly,3,18,24 Hours,government_id | bank_statements,working_capital | inventory | payroll,,Fast-turn working capital for businesses that need speed and have active revenue.,Recent NSFs | Unstable deposits | Severe cash-flow deterioration,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=3 - 18 Months; rate_cost_range=Factor Rate 1.20 - 1.49; startup_eligible=no; public_label=Revenue Advance Program — Option 5; qualification_band=subprime_revenue_based
gokap-loc,Business Line of Credit,business_line_of_credit,GoKapital,true,12,15000,,5000,55000,,,Real Estate | Healthcare | Retail,,600_639,600,,,,,none,conditional,variable,,,24 Hours,government_id | bank_statements | business_formation_documents,working_capital,,Flexible revolving access for businesses that want ongoing draw-based capital.,Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Revolving; rate_cost_range=Interest on Funds Used; startup_eligible=no; public_label=Business Line of Credit — Option 3; qualification_band=fair_credit_business_funding
gokap-startup,Personal/Start-up Loan,term_loan,GoKapital,true,0,30000,,20000,500000,,,Real Estate | Healthcare | Retail,,680_719,680,,,,,none,conditional,monthly,12,60,5 - 7 Days,government_id | application | other,working_capital | inventory | marketing | other,,"White-labeled startup capital path for founders using credit, income, or eligible personal assets.",Recent derogatory credit | Insufficient personal income where required | Open bankruptcy,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=1 - 5 Years; rate_cost_range=6% - 18%; startup_eligible=yes; public_label=Founder Launch Loan; qualification_band=startup_no_revenue_credit_leverage
gokap-sbl,Small Business Loans,term_loan,GoKapital,true,,,,20000,5000000,,,Real Estate | Healthcare | Retail,,not_provided,,,,,,none,conditional,monthly,,,24 Hours,government_id | bank_statements | business_formation_documents,expansion | debt_refinance,,"Structured business funding for expansion, refinancing, or planned growth.",Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Varies; rate_cost_range=Varies; startup_eligible=no; public_label=Small Business Loan; qualification_band=fair_credit_business_funding
gokap-equip,Equipment Financing,equipment_financing,GoKapital,true,12,,,20000,50000000,,,Real Estate | Healthcare | Retail,,550_599,580,,,,,equipment,conditional,monthly,12,60,Quick Approval,government_id | equipment_quote | other | bank_statements,equipment,,"Asset-backed financing for equipment, trucks, and revenue-producing business assets.",Obsolete or salvage-title equipment | No invoice or spec sheet | Weak repayment support,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=1 - 5 Years; rate_cost_range=6% - 35%; startup_eligible=no; public_label=Equipment Finance Program — Flexible Credit; qualification_band=subprime_revenue_based
gokap-term,Unsecured Business Term Loans,term_loan,GoKapital,true,,,,20000,500000,,,Real Estate | Healthcare | Retail,,not_provided,,,,,,none,conditional,monthly,,60,1 - 2 Weeks,government_id | bank_statements | business_formation_documents,expansion | debt_refinance,,"Structured business funding for expansion, refinancing, or planned growth.",Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Up to 5 Years; rate_cost_range=Simple Interest; startup_eligible=no; public_label=Business Funding Program; qualification_band=stronger_credit_bank_adjacent
gokap-sba,SBA 7(a) Loans,sba_related_financing,GoKapital,true,24,,,30000,5000000,,,Real Estate | Healthcare | Retail,,680_719,680,,,,,none,conditional,monthly,120,300,1 - 3 Months,government_id | bank_statements | business_formation_documents | business_tax_returns | other,expansion | debt_refinance,,"Structured business funding for expansion, refinancing, or planned growth.",Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=10 - 25 Years; rate_cost_range=Prime + 2.75% - 4.75%; startup_eligible=no; public_label=SBA-Style Business Loan — Option 2; qualification_band=stronger_credit_bank_adjacent
gokap-consumer,Consumer Financing,other,GoKapital,true,12,,,,,,,Real Estate | Healthcare | Retail,,not_provided,,,,,,none,conditional,unknown,,,Instant,government_id | bank_statements,other,,Fundability support for businesses strengthening their credit and financing readiness.,Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Varies; rate_cost_range=Varies; startup_eligible=no; public_label=Customer Financing Program; qualification_band=mixed_or_specialty
gokap-hardmoney,Hard Money Bridge Loans,commercial_real_estate_financing,GoKapital,true,,,,100000,50000000,,,Real Estate | Healthcare | Retail,,not_provided,,,,,,real_estate,conditional,variable,12,24,2 - 4 Weeks,government_id | real_estate_documents | lease,debt_refinance | acquisition,,"Property-focused capital for acquisition, refinance, bridge, rental, or commercial use.",Weak equity or unsupported LTV | Unclear exit strategy | Incomplete property file,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=1 - 2 Years; rate_cost_range=7% - 14%; startup_eligible=no; public_label=Bridge Real Estate Loan; qualification_band=real_estate_asset_backed
gokap-cre,Commercial Mortgages,commercial_real_estate_financing,GoKapital,true,,,,100000,50000000,,,Real Estate | Healthcare | Retail,,not_provided,,,,,,real_estate,conditional,monthly,12,360,2 - 4 Weeks,government_id | real_estate_documents | lease,debt_refinance | acquisition,,"Property-focused capital for acquisition, refinance, bridge, rental, or commercial use.",Weak equity or unsupported LTV | Unclear exit strategy | Incomplete property file,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=1 - 30 Years; rate_cost_range=7% - 14%; startup_eligible=no; public_label=Commercial Mortgage; qualification_band=real_estate_asset_backed
gokap-rental,Rental Investment,commercial_real_estate_financing,GoKapital,true,,,,150000,50000000,,,Real Estate | Healthcare | Retail,,640_679,660,,,,,real_estate,conditional,monthly,,360,Varies,government_id | real_estate_documents | lease,debt_refinance | acquisition,,"Property-focused capital for acquisition, refinance, bridge, rental, or commercial use.",Weak equity or unsupported LTV | Unclear exit strategy | Incomplete property file,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Up to 30 Years; rate_cost_range=5.9% - 7.9%; startup_eligible=no; public_label=Rental Property Loan; qualification_band=real_estate_asset_backed
gokap-foreign,Foreign National Loans,commercial_real_estate_financing,GoKapital,true,,,,150000,50000000,,,Real Estate | Healthcare | Retail,,not_provided,,,,,,real_estate,conditional,monthly,,,Varies,government_id | real_estate_documents | lease,debt_refinance | acquisition,,"Property-focused capital for acquisition, refinance, bridge, rental, or commercial use.",Weak equity or unsupported LTV | Unclear exit strategy | Incomplete property file,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Varies; rate_cost_range=6% - 14%; startup_eligible=no; public_label=Foreign National Real Estate Loan; qualification_band=real_estate_asset_backed
gokap-cannabis,Cannabis Business Loans,term_loan,GoKapital,true,12,20000,,50000,5000000,,,Real Estate | Healthcare | Retail,,600_639,600,,,,,none,conditional,monthly,,,1 - 2 Weeks,government_id | bank_statements | business_formation_documents,expansion | debt_refinance,,"Structured business funding for expansion, refinancing, or planned growth.",Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Varies; rate_cost_range=Varies; startup_eligible=no; public_label=Specialty Industry Business Loan; qualification_band=fair_credit_business_funding
gokap-truck,Commercial Truck Financing,equipment_financing,GoKapital,true,,,,20000,5000000,,,Real Estate | Healthcare | Retail,,600_639,600,,,,,equipment,conditional,monthly,12,60,1 - 3 Days,government_id | equipment_quote | other | bank_statements,equipment,,"Asset-backed financing for equipment, trucks, and revenue-producing business assets.",Obsolete or salvage-title equipment | No invoice or spec sheet | Weak repayment support,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,GoKapital,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=1 - 5 Years; rate_cost_range=Varies; startup_eligible=no; public_label=Commercial Truck Financing; qualification_band=fair_credit_business_funding
rok-term,Small Business Loans,term_loan,ROK Financial,true,24,15000,,20000,5000000,,,Small Business | Healthcare | Construction,,600_639,600,,,,,none,unknown,monthly,72,120,1 - 3 Days,government_id | bank_statements | business_formation_documents,expansion | debt_refinance,,"Structured business funding for expansion, refinancing, or planned growth.",Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,ROK Financial,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=6 mos - 10 Years; rate_cost_range=Varies; startup_eligible=no; public_label=Small Business Loan — Standard Profile; qualification_band=fair_credit_business_funding
rok-bloc,Business Line of Credit,business_line_of_credit,ROK Financial,true,12,15000,,10000,500000,,,Small Business | Healthcare | Construction,,600_639,600,,,,,none,unknown,variable,,,1 - 3 Days,government_id | bank_statements | business_formation_documents,working_capital,,Flexible revolving access for businesses that want ongoing draw-based capital.,Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,ROK Financial,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=Revolving; rate_cost_range=Varies; startup_eligible=no; public_label=Business Line of Credit — Option 4; qualification_band=fair_credit_business_funding
rok-sba,SBA Loans,sba_related_financing,ROK Financial,true,24,,,50000,5000000,,,Small Business | Healthcare | Construction,,680_719,680,,,,,none,unknown,monthly,120,300,1 - 3 Months,government_id | bank_statements | business_formation_documents | business_tax_returns | other,expansion | debt_refinance,,"Structured business funding for expansion, refinancing, or planned growth.",Open bankruptcy | Major tax liens | Recent severe delinquencies,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,ROK Financial,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=10 - 25 Years; rate_cost_range=Prime Based; startup_eligible=no; public_label=SBA-Style Business Loan — Option 3; qualification_band=stronger_credit_bank_adjacent
rok-equip,Equipment Financing,equipment_financing,ROK Financial,true,,15000,,20000,5000000,,,Small Business | Healthcare | Construction,,600_639,600,,,,,equipment,unknown,monthly,12,60,1 - 3 Days,government_id | equipment_quote | other | bank_statements,equipment,,"Asset-backed financing for equipment, trucks, and revenue-producing business assets.",Obsolete or salvage-title equipment | No invoice or spec sheet | Weak repayment support,Human review required before provider-specific recommendation or submission.,2026-06-26,funding_product_portfolio_report.md (Full Product Inventory); verification=imported_from_portfolio_report; supplemented by funding-products.whitelabel.registry.json,ROK Financial,PM-2026-07-16-r1,current,source_verification=imported_from_portfolio_report; original_term=1 - 5 Years; rate_cost_range=Varies; startup_eligible=no; public_label=Equipment Finance Program — Option 3; qualification_band=fair_credit_business_funding
